Attitude,,,,Error,,,DError,,,Torque,,
0.463753,0.4444979,0.4402101,0.6273515,28.04313,-20.95264,-25.55726,7.990204,0.8956299,-4.229248,-0.4227343,7.181424,3.43793
0.4606512,0.4465738,0.4481371,0.6225316,27.03857,-21.03942,-25.02832,8.036407,0.6942139,-4.231506,-0.07516479,7.006041,3.27699
0.4576138,0.4488253,0.4559035,0.617493,26.02884,-21.0999,-24.49977,8.077911,0.4838257,-4.228394,0.2692604,6.813796,3.121538
0.4546518,0.4512545,0.4634978,0.6122345,25.01462,-21.13291,-23.97224,8.113724,0.2640991,-4.220215,0.6093373,6.603973,2.971459
0.4517767,0.4538628,0.4709079,0.6067554,23.99674,-21.13721,-23.44646,8.143066,0.03442383,-4.206299,0.9440451,6.375588,2.827639
0.4490012,0.4566511,0.4781213,0.6010556,22.97614,-21.11154,-22.92315,8.164795,-0.2053833,-4.186462,1.271954,6.128079,2.690483
0.4463389,0.459619,0.4851249,0.5951352,21.95391,-21.05453,-22.40302,8.17778,-0.4560547,-4.161011,1.591606,5.860306,2.559896
0.4438042,0.4627656,0.4919053,0.588995,20.93131,-20.96481,-21.88684,8.180801,-0.7178345,-4.129456,1.901407,5.571608,2.436597
0.4414128,0.4660885,0.4984483,0.5826368,19.90976,-20.8409,-21.37534,8.172455,-0.9912109,-4.09198,2.199527,5.261061,2.320623
0.4391814,0.4695846,0.5047395,0.5760626,18.89084,-20.68137,-20.86929,8.151337,-1.276306,-4.048462,2.484084,4.928104,2.212324
0.4371279,0.473249,0.5107639,0.5692759,17.87639,-20.48468,-20.36942,8.115601,-1.573486,-3.998962,2.752683,4.571918,2.111863
0.4352711,0.4770756,0.5165062,0.5622805,16.86844,-20.24931,-19.87646,8.063614,-1.882996,-3.943665,3.003082,4.191796,2.019273
0.4336313,0.4810565,0.5219508,0.555082,15.86923,-19.97373,-19.39109,7.993652,-2.20459,-3.882935,3.232882,3.78753,1.934393
0.4322299,0.4851821,0.5270815,0.5476867,14.88135,-19.65642,-18.91397,7.903076,-2.538513,-3.816956,3.438672,3.358412,1.857236
0.4310896,0.4894408,0.5318822,0.5401027,13.90759,-19.2959,-18.44569,7.790039,-2.884155,-3.746216,3.617761,2.904614,1.787493
0.4302341,0.4938187,0.5363359,0.5323396,12.95114,-18.89073,-17.98677,7.651611,-3.241333,-3.671387,3.766269,2.425887,1.724645
0.4296888,0.4982995,0.5404261,0.524409,12.01544,-18.43961,-17.53759,7.485596,-3.609009,-3.593445,3.880963,1.922873,1.667832
0.4294801,0.5028642,0.5441356,0.5163245,11.1044,-17.94131,-17.09843,7.28833,-3.986389,-3.513245,3.95701,1.396003,1.616286
0.4296353,0.5074911,0.5474471,0.5081025,10.2222,-17.39484,-16.66946,7.057617,-4.371704,-3.431763,3.990957,0.8467493,1.569077
0.4301831,0.5121546,0.5503436,0.4997622,9.373596,-16.79945,-16.25059,6.788818,-4.763123,-3.351013,3.976739,0.2767138,1.524163
0.4311529,0.516826,0.5528079,0.4913264,8.563751,-16.15469,-15.84155,6.47876,-5.158081,-3.272339,3.909634,-0.3116727,1.480125
0.4325749,0.5214723,0.5548232,0.4828218,7.798309,-15.46059,-15.44179,6.123535,-5.552856,-3.198059,3.784042,-0.9146805,1.434477
0.4344791,0.5260561,0.5563732,0.4742802,7.083466,-14.71768,-15.05051,5.71875,-5.943237,-3.130188,3.59371,-1.527933,1.384966
0.4368954,0.5305352,0.5574425,0.4657388,6.425995,-13.92722,-14.66656,5.259766,-6.32373,-3.071594,3.331967,-2.145566,1.328375
0.4398524,0.5348616,0.5580174,0.4572413,5.83313,-13.09128,-14.2884,4.74292,-6.6875,-3.02533,2.992981,-2.760116,1.26119
0.4433763,0.5389816,0.558086,0.4488389,5.312775,-12.21306,-13.91406,4.162842,-7.025757,-2.99469,2.569009,-3.361839,1.179529
0.44749,0.5428354,0.5576396,0.4405911,4.873169,-11.29697,-13.54121,3.516846,-7.328735,-2.982849,2.054895,-3.939645,1.079513
0.452211,0.5463562,0.5566738,0.4325672,4.523102,-10.34897,-13.16705,2.800537,-7.583984,-2.993286,1.443606,-4.479294,0.9568276
0.4575491,0.5494705,0.5551902,0.4248469,4.271545,-9.376823,-12.78836,2.012451,-7.777161,-3.02948,0.7309875,-4.964113,0.8070283
0.4634835,0.5520889,0.553205,0.4175467,4.128143,-8.393829,-12.40296,1.147217,-7.863953,-3.083191,-0.09122622,-5.345804,0.6376977
0.4699608,0.5541165,0.5507576,0.4108016,4.101013,-7.417717,-12.00902,0.217041,-7.808899,-3.15155,-1.013263,-5.583584,0.4511552
0.4769043,0.5554641,0.5479103,0.4047422,4.195282,-6.468346,-11.60442,-0.7541504,-7.594971,-3.236755,-2.012735,-5.654467,0.2445719
0.4842132,0.5560524,0.5447477,0.3994914,4.412872,-5.567184,-11.18731,-1.740723,-7.20929,-3.336914,-3.064584,-5.539134,0.01927876
0.4917632,0.5558148,0.5413761,0.3951592,4.751953,-4.736732,-10.75636,-2.712646,-6.643616,-3.447571,-4.138232,-5.222596,-0.2206619
0.4994079,0.5547019,0.5379223,0.3918382,5.206726,-3.99984,-10.31131,-3.638184,-5.895142,-3.560425,-5.200202,-4.695189,-0.4670317
0.5069817,0.5526839,0.5345306,0.3895988,5.767303,-3.379036,-9.85318,-4.484619,-4.966431,-3.665039,-6.21481,-3.95272,-0.709085
0.5143028,0.5497529,0.5313612,0.3884838,6.419525,-2.895882,-9.384331,-5.217773,-3.865234,-3.750793,-7.143631,-2.99647,-0.9354942
0.5211781,0.5459253,0.5285862,0.3885043,7.145142,-2.570274,-8.908493,-5.804932,-2.604858,-3.806702,-7.948474,-1.833776,-1.134154
0.5274072,0.5412431,0.5263857,0.3896354,7.9216,-2.419853,-8.430542,-6.21167,-1.203369,-3.823608,-8.58815,-0.4774132,-1.294446
0.5327876,0.5357752,0.5249431,0.3918125,8.722443,-2.459358,-7.956085,-6.406738,0.31604,-3.795654,-9.023471,1.053848,-1.408829
0.5371202,0.5296193,0.5244396,0.3949285,9.517242,-2.699936,-7.491058,-6.358398,1.924622,-3.720215,-9.213572,2.734602,-1.472897
0.540214,0.5229026,0.5250471,0.3988324,10.27206,-3.148445,-7.041046,-6.038574,3.588074,-3.600098,-9.120193,4.532607,-1.487784
